Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Description,Location
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,"We are hiring a Junior Business Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Chennai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"Looking for a Senior Marketing Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
45.0,Male,Master's,Director of Engineering,19.0,180000.0,"Seeking a skilled Director Of Engineering who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,"Join our team as a Junior Operations Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,"Seeking a skilled Senior Business Development Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,"Looking for a Senior Data Scientist with experience in Python, Machine Learning, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,"Seeking a skilled Junior Marketing Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,"Seeking a skilled Senior Business Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
48.0,Male,Master's,Director of Marketing,21.0,180000.0,"We are hiring a Director Of Marketing. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,"Seeking a skilled Junior Business Development Associate who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,"Looking for a Senior Financial Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,"Seeking a skilled Senior Ux Designer who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,"Looking for a Junior Product Manager with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,"Seeking a skilled Senior Marketing Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
47.0,Male,Master's,Director of Operations,19.0,170000.0,"Looking for a Director Of Operations with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,"Join our team as a Junior Project Manager. Must have experience in Python, SQL and strong analytical abilities.",Delhi
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,"Seeking a skilled Senior Operations Coordinator who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,"We are hiring a Senior Business Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,"Seeking a skilled Junior Marketing Specialist who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,"We are hiring a Senior Financial Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
43.0,Male,Master's,Director of Marketing,18.0,170000.0,"Looking for a Director Of Marketing with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,"Join our team as a Junior Financial Analyst. Must have experience in Python, SQL and strong analytical abilities.",Delhi
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,"Join our team as a Senior Product Manager. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,"Seeking a skilled Senior Data Engineer who has knowledge of Python, SQL and can work in a fast-paced environment.",Mumbai
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,"Looking for a Junior Business Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Chennai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,"We are hiring a Senior Marketing Analyst. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
43.0,Male,Master's,Director of Operations,19.0,170000.0,"Seeking a skilled Director Of Operations who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,"Join our team as a Junior Project Manager. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,"Join our team as a Senior Operations Coordinator. Must have experience in Python, SQL and strong analytical abilities.",Bangalore
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,"Join our team as a Senior Business Analyst. Must have experience in Python, SQL and strong analytical abilities.",Pune
